News;Timestamp;Ueberschrift;Link;Old;Year
" In der Nacht vom Donnerstag, 30.01.2003, 21.49 Uhr, auf Freitag, 31.01.2003, 02.36 Uhr, stahlen bislang unbekannte Täter einen Teil einer zum Versand per Flugzeug bereitgestellten Ladung von Nokia 3310-Mobiltelefonen. Sie umfaßte 32 Kartons, die auf vier Paletten verpackt waren. Als das Flugzeug beladen werden sollte, stellte man fest, daß zwar die Frachtpapiere vorhanden waren, die eigentliche Fracht aber nicht. Das Flugzeug hob schließlich ohne die Mobiltelefone ab. Wenig später entdeckte ein Mitarbeiter der Fraport die verschwundenen Paletten an einer anderen Stelle; von der Sendung fehlten 14 Kartons (zwischen 3.000 und 5.000 Telefone). Der Schaden wird auf ca. 500.000 Euro beziffert. Die Ermittlungen dauern an. (Manfred Vonhausen/-82113).    ";2003-01-31 12:30:00;POL-F: 030131 - 0128    Flughafen: 14 Kartons mit Mobiltelefonen gestohlen.;"https://www.presseportal.de/blaulicht/pm/4970/417019
";False;2003
" Eine 94jährige Rentnerin ist am vergangenen Mittwoch von einem Trickdieb bestohlen worden, der es mit der Installateurs-Masche geschafft hatte, sich Zutritt zu ihrer Wohnung in der Homburger Landstraße zu verschaffen. Gegen 11.00 Uhr hatte der Unbekannte bei der Frau geklingelt und behauptet, im Nachbarhaus hätte sich ein Rohrbruch ereignet. Zur Entlastung der Wasserleitung müsse er nun überall die Wasserhähne aufdrehen. Die Rentnerin ließ den Täter daher eintreten und begleitete ihn ins Bad und in die Küche. Offenbar hatte sie aber zuvor nicht bemerkt, daß der Mann beim Eintreten die Wohnungstüre für einen draußen wartenden Komplizen nur angelehnt hatte. Während nun der erste Täter die Aufmerksamkeit der 94jährigen in Bad und Küche auf sich lenkte, muß sein Mittäter das Schlafzimmer des Opfers durchsucht und die Wohnung wieder unbemerkt verlassen haben. Der ablenkende Täter verabschiedete sich 20 Minuten später von der 94jährigen mit der Bemerkung, nun sei ""alles erledigt"". Erst gegen 16.00 Uhr stellte sie fest, daß aus ihrem Schlafzimmer ca. 200 US-Dollar sowie persönlicher Schmuck (Goldketten, Goldarmbänder, Ringe und Uhren) im Wert von etwa 1.000 Euro gestohlen worden waren. Erst am Tage nach der Tat verständigte sie die Polizei.    Bei dem falschen Installateur soll es sich um einen ca. 30jährigen Mann gehandelt haben. Er war ca. 1,60 m - 1,70 m groß, hatte ein schmales Gesicht und trug bei der Tatausführung eine dunkle Jacke sowie ein weißes Hemd mit Krawatte.    Mit einem erneuten Auftreten der Täter muß gerechnet werden. Um eine entsprechende Warnmeldung wird gebeten.    Sachdienliche Hinweise bitte an das Kommissariat 24 der Frankfurter Kripo, Tel. 755-52408, oder an jede andere Polizeidienststelle. (Manfred Feist/-82117).    ";2003-01-31 12:11:00;POL-F: 030131 - 0126    Preungesheim:  Falscher Installateur bestahl Rentnerin.;"https://www.presseportal.de/blaulicht/pm/4970/417010
";False;2003
" Zivilfahnder des Sonderkommandos Süd wurden am Freitag morgen gegen 01.10 Uhr in der Nähe des Südbahnhofes auf zwei junge Männer aufmerksam, die sich verdächtig verhielten. Die beiden gingen durch die Brückenstraße und sahen sich dabei ständig sichernd um. Trotzdem bemerkten sie offenbar nicht, daß das ""Auge des Gesetzes"" sie bereits unter Beobachtung hatte. In Höhe der Brückenstraße 94 bestiegen die Observierten plötzlich einen neuwertig aussehenden Citroen C 5 und fuhren davon. Bei der Überprüfung des Kennzeichens stellte sich heraus, daß der Wagen (Zeitwert ca. 25.000 Euro) am Tag zuvor in Sachsenhausen gestohlen worden war.    Eine Fahndung wurden ausgelöst. Nur wenige Minuten später erkannten Beamte des 8. und 9. Reviers den Fluchtwagen am Wendelsplatz . Der Fahrer bemerkte die Streifenwagen, bog in die Mühlbruchstraße ein und stoppte. Blitzartig sprangen fünf junge Männer aus dem Auto und rannten in verschiedene Richtungen davon. Vier von ihnen wurden nach kurzer Verfolgung zu Fuß festgenommen, dem fünften gelang die Flucht. Bei den Festgenommenen handelt es sich um drei Frankfurter im Alter von 19, 19 und 18 Jahren sowie um einen 25jährigen Neu-Isenburger, allesamt bereits wegen verschiedener Delikte polizeilich in Erscheinung getreten. Sie zeigten sich geständig und wurden nach Abschluß der polizeilichen Maßnahmen wieder auf freien Fuß gesetzt. (Manfred Feist/-82117).    ";2003-01-31 12:09:00;POL-F: 030131 - 0127    Sachsenhausen:  Autodiebe geschnappt.;"https://www.presseportal.de/blaulicht/pm/4970/417005
";False;2003
" Heute morgen gegen 01.00 Uhr wollte eine 38jährige Frankfurterin in den Vorraum der Volksbank Friedberger Landstraße 74, um dort Geld abzuheben. Kurz vor Betreten des Raumes wurde sie von zwei unbekannten jungen Männern angesprochen und um Zigaretten gebeten. Sie lehnte dies ab, ging in den Vorraum und hob dort 50 Euro ab, die sie in ihre Manteltasche steckte. Anschließend verließ sie die Bank wieder und ging in Richtung Gellertstraße. Etwa in Höhe Friedberger Platz/Rotlintstraße schrie sie plötzlich einer der beiden Unbekannten, die sie zuvor um Zigaretten gebeten hatten, mit den Worten: ""Cash her"", an. Unmittelbar darauf stieß er sie gegen eine Hauswand, schlug ihr ins Gesicht und entnahm aus der Manteltasche das Geld. Danach entfernten sich die beiden in unbekannte Richtung. Das Opfer trug durch den Schlag ins Gesicht starke Schwellungen im Nasen- und Augenbereich davon und mußte sich in ambulante Behandlung in ein Krankenhaus begeben. Die Täter werden wie folgt beschrieben:    1.Täter: 185 cm groß, schlank, 23 - 25 Jahre alt, schwarze, gelockte Haare, Nordafrikaner (Haupttäter); er trug Jeans und eine dunkelblaue Daunenjacke.    2. Täter: 170 cm groß, kräftig, 25 Jahre alt, gelockte, schwarze, kinnlange Haare, Nordafrikaner; er war mit einer dunklen Hose und einer roten Stoffjacke mit Metallschnalle bekleidet.    Sachdienliche Hinweise auf die Täter nimmt jede Polizeidienststelle entgegen. (Manfred Vonhausen/-82113).    ";2003-01-31 11:28:00;POL-F: 030131 - 0125    Nordend: 38jährige Frau überfallen.;"https://www.presseportal.de/blaulicht/pm/4970/416951
";False;2003
 Gestern gegen 14.30 Uhr wurde der hiesige Kriminaldauerdienst davon in Kenntnis gesetzt, daß in einer Wohnung in der Adolf-Miersch-Straße eine 43jährige in Frankfurt lebende Italienerin tot aufgefunden worden war. Wie die Ermittlungen ergaben, war die Frau bereits seit 1981 als drogenabhängig bekannt und seit 1984 H.I.V. positiv. Aufgrund der Auffindesituation und der Gesamtumstände kann - vorbehaltlich des abschließenden Obduktionsergebnisses - davon ausgegangen werden, daß sie an den Folgen ihres Rauschgiftkonsums verstarb. Im Vergleichszeitraum des Vorjahres waren zwei Drogentote zu verzeichnen. (Manfred Vonhausen/-82113).    ;2003-01-31 11:19:00;POL-F: 030131 - 0124    Niederrad:  Erste Drogentote des Jahres 2003.;"https://www.presseportal.de/blaulicht/pm/4970/416942
";False;2003
 Am Donnerstag, dem 30. Januar 2003, gegen 20.20 Uhr ereignete sich auf dem Schaumainkai, in Höhe der Hausnummer 15, ein schwerer Verkehrsunfall. Zu dem genannten Zeitpunkt befuhr ein 19jähriger aus Mannheim mit seinem Opel Astra den Schaumainkai in Richtung des Theodor-Stern-Kai. Ein 32jähriger aus Freiburg sowie eine 18jährige Touristin aus Korea waren zu Fuß auf dem Gehweg unterwegs. Der 19jährige erfaßte die beiden Fußgänger mit der Frontseite seines Wagens. Ob der Zusammenstoß auf der Fahrbahn oder dem Gehweg stattfand, ist noch nicht geklärt. Hier liegen unterschiedliche Aussagen vor. Die beiden Fußgänger mußten mit schweren Verletzungen in ein Krankenhaus verbracht werden, wo sie stationär aufgenommen wurden. Bei dem Fahrer des Astra wurde eine Blutentnahme vorgenommen. Der 19jährige gab zunächst falsche Personalien an, korrigierte sie jedoch später. Grund hierfür dürfte gewesen sein, daß ihm der Führerschein bereits wegen einer Alkoholfahrt entzogen wurde. (Manfred Füllhardt/-82116).    ;2003-01-31 11:05:00;POL-F: 030131 - 0123    Sachsenhausen:  Zwei Fußgänger bei Verkehrsunfall schwer verletzt.;"https://www.presseportal.de/blaulicht/pm/4970/416925
";False;2003
" Nach der Versetzung des langjährigen Leiters der Direktion Verkehrssicherheit, Polizeidirektor Alexander König, wurde durch das Landespolizeipräsidium Polizeioberrat Dieter Herberg (43) die Leitung dieser zentralen Dienststelle des Polizeipräsidiums übertragen. In seinem Verantwortungsbereich, den er bereits kommissarisch seit Oktober 2002 übernommen hat, liegen alle verkehrspolizeilichen Maßnahmen für das gesamte Stadtgebiet und alle Autobahnbereiche, für das Frankfurter Kreuz und die Verkehrswege von und zum Flughafen (Fraport). Insgesamt ist Herr Herberg für 250 Mitarbeiter verantwortlich, die den Organisationseinheiten Verkehrsüberwachungsdienst, Zentraler Verkehrsunfalldienst, Verkehrserziehung und Polizeiautobahnstation angehören. Seit 27 Jahren ist der neue Chef Polizeibeamter. So wurde er nach seiner Ausbildung zunächst in der Landeshauptstadt Wiesbaden eingesetzt, bevor er 1987 nach Frankfurt versetzt wurde, wo er bis 1990 Dienst beim 10. Revier versah. Vor seinem weiteren Aufstieg in den höheren Dienst fand er eine kurzfristige Verwendung in der Wiesbadener Direktion des Rheingau-Taunus-Kreises. Im Juni 1993 kehrte er in die Großstadt Frankfurt a. M. zurück und bekleidete hier verschiedene Führungspositionen im Polizeipräsidium. Die letzten vier Jahre war er Leiter des 4. Polizeireviers, das für das Bahnhofsgebiet und die Stadtteile Gallus und Gutleut zuständig ist. In diesem Jahr erwarten ihn in seinem neuen Aufgabengebiet neben verschiedenen Demonstrationslagen und Staatsbesuchen auch Großveranstaltungen wie das Radrennen ""Rund um den Henninger Turm"", der ""Iron Man 2003"", die ""IAA"". Darüber hinaus werden seine Verkehrsspezialisten zur Erhöhung der allgemeinen Verkehrssicherheit und zur Reduzierung von Verkehrsunfällen verstärkt Fahrzeugkontrollen - auch nachts - durchführen. Eine seiner Hauptaufgaben wird die enge Zusammenarbeit mit den städtischen Straßenverkehrsbehörden und den sonstigen Institutionen der Verkehrssicherheit sein.    Das Bild kann abgerufen werden unter www.polizeipresse.de . Bitte als Kennwort polizei_frankfurt@newsaktuell.de eingeben. (Jürgen Linker/-82111).    ";2003-01-31 11:02:00;POL-F: 030131 - 0122    Polizeipräsidium:  Neuer Leiter der Direktion Verkehrssicherheit im Amt (Lichtbild beachten).;"https://www.presseportal.de/blaulicht/pm/4970/416919
";False;2003
 Im Besitz von insgesamt 27 Blistern Rohypnol, Diazepam sowie Rivotril nahmen Polizeibeamte am gestrigen Mittwochabend gegen 18.05 Uhr im Kaisersack einen 33 Jahre alten Frankfurter fest. Die Beamten hatten den Mann zuvor dabei beobachtet, wie er einem 27jährigen Nordhessen einen Blister Tabletten übergab. Neben den sichergestellten Tabletten wurden bei dem Frankfurter auch noch entsprechende Rezepte gefunden. Im Anschluß an seine Vernehmung sowie der Durchführung weiterer polizeilicher Maßnahmen wurde der Beschuldigte wieder entlassen. (Karlheinz Wagner/-82115).    ;2003-01-30 13:44:00;POL-F: 030130 - 0121    Bahnhofsgebiet: Festnahme eines Rohypnoldealers.;"https://www.presseportal.de/blaulicht/pm/4970/416664
";False;2003
 Nachdem eine 91jährige Frankfurterin am Mittwoch, dem 29. Januar 2003, bei ihrer Bank 300 Euro vom Konto abgehoben hatte, benutzte sie die Straßenbahn, um nach Hause zu gelangen. Gegen 11.00 Uhr stieg sie an der Haltestelle Osthafenplatz (Hanauer Landstraße) aus. Als sie im Begriff war, die Haustüre aufzuschließen, wurde sie von hinten umgestoßen und fiel durch die nunmehr offene Tür in den Flur. Gleichzeitig wurde ihr die Handtasche entrissen, welche sie über der rechten Schulter trug. Der Täter flüchtete mit seiner Beute über die Hanauer Landstraße.    Er soll etwa 30 Jahre alt und ca. 180 cm groß gewesen sein. Er war von normaler Gestalt, dunkel gekleidet und trug eine Mütze auf dem Kopf.    In der braunen Damenhandtasche befanden sich rund 325 Euro, die EC-Karte der Geschädigten sowie verschiedene persönliche Gegenstände.    Es ist nicht bekannt, ob der Täter die Frau bereits bei der Geldabhebung beobachtete. Der Geschädigten war nichts dergleichen aufgefallen. Die Frau blieb offenbar unverletzt, einen Transport in ein Krankenhaus zwecks Untersuchung lehnte sie ab. (Manfred Füllhardt/-82116).    ;2003-01-30 13:43:00;POL-F: 030130 - 0120    Ostend:  91jährige Frau Opfer eines Straßenräubers.;"https://www.presseportal.de/blaulicht/pm/4970/416661
";False;2003
 Bislang noch ungeklärt ist die Ursache eines Pkw-Brandes, der sich am Mittwoch, dem 29. Januar 2003, gegen 14.40 Uhr in der Tiefgarage des Frankfurter Hauptbahnhofes ereignete. Beim Rundgang fiel einem Sicherheitsbediensteten der qualmende Jeep der Marke Chrysler auf. Die Feuerwehr konnte den Brand schnell unter Kontrolle bringen. Der gesamte Frontbereich des Wagens wurde durch die Flammen beschädigt. Ein hinter dem Jeep geparkter Skoda Kombi aus Österreich wurde durch die Flammen ebenfalls beschädigt. Aufgrund der starken Rauchentwicklung mußte die Zufahrt zur Tiefgarage zwischen 15.00 Uhr und 16.10 Uhr gesperrt werden. An dem Jeep entstand Sachschaden in Höhe von rund 35.000 Euro, an dem Skoda von rund 3.000 Euro. (Manfred Füllhardt/-82116).    ;2003-01-30 13:35:00;POL-F: 030130 - 0119    Bahnhofsviertel:  Personenkraftwagen brannte in Tiefgarage des Hauptbahnhofes.;"https://www.presseportal.de/blaulicht/pm/4970/416655
";False;2003
